sku,offer_id,family,title,product_url,quality_score,quality_max,missing_fields
"MFL1295","shopify_ZZ_15061670592880_53472994427248","mailers","12 1/8 x 9 1/4 x 5 White Corrugated Literature Mailer - Self-Seal, 50 Pack","https://packrift.com/products/12-1-8-x-9-1-4-x-5-white-corrugated-literature-mailer-self-seal-50-pack","10","10",""
"1066","shopify_ZZ_15061650243952_53472879935856","boxes","10x6x6 ECT-32 Kraft Long Corrugated Boxes - 25 Bundle","https://packrift.com/products/10x6x6-ect-32-kraft-long-corrugated-boxes-25-bundle","9","10","details_3_plus"
"LL251WR","shopify_ZZ_15062414000496_53475925492080","labels","2 5/8"" x 1"" Weather-Resistant Polyester Laser Labels - 3000/Case","https://packrift.com/products/2-5-8-x-1-weather-resistant-polyester-laser-labels-3000-case","10","10",""
"20146","shopify_ZZ_15061262303600_53449722659184","boxes","20x14x6 ECT-32 Kraft Corrugated Boxes - Shallow Depth Design, Bundle of 25","https://packrift.com/products/20x14x6-ect-32-kraft-corrugated-boxes-shallow-depth-design-bundle-of-25","10","10",""
"1054","shopify_ZZ_15061651095920_53472881213808","boxes","10x5x4 ECT-32 Kraft Corrugated Boxes - Long Side Opening, 25 Bundle","https://packrift.com/products/10x5x4-ect-32-kraft-corrugated-boxes-ai-long-side-opening-bundle-of-25","10","10",""
"1265","shopify_ZZ_15061647130992_53472876331376","boxes","12x6x5"" ECT-32 Kraft Corrugated Long Boxes - 25 Bundle","https://packrift.com/products/12x6x5-ect-32-kraft-corrugated-long-boxes-25-bundle","10","10",""
"1333","shopify_ZZ_15061650407792_53472880066928","boxes","13x3x3 ECT-32 Kraft Corrugated Long Boxes - Easy Pack, 25 Bundle","https://packrift.com/products/13x3x3-ect-32-kraft-corrugated-long-boxes-easy-pack-bundle-of-25","10","10",""
"1388","shopify_ZZ_15061637300592_53472863093104","boxes","13x8x8 ECT-32 Kraft Corrugated Boxes - Long Item Shipping, 25 Bundle","https://packrift.com/products/13x8x8-ect-32-kraft-corrugated-boxes-long-item-shipping-bundle-of-25","10","10",""
"1466","shopify_ZZ_15061641527664_53472868368752","boxes","14x6x6"" ECT-32 Kraft Corrugated Boxes - Long Item Shipping, 25 Bundle","https://packrift.com/products/14x6x6-ect-32-kraft-corrugated-boxes-long-item-shipping-bundle-of-25","9","10","pack_count_signal"
"1477","shopify_ZZ_15061638447472_53472864371056","boxes","14x7x7 ECT-32 Kraft Corrugated Boxes - Long Item Shipping, 25-Pack","https://packrift.com/products/14x7x7-ect-32-kraft-corrugated-boxes-long-item-shipping-25-pack","10","10",""
